threshold,num_runs,num_units,unit_id_mean,unit_id_std,threshold_mean,threshold_std,num_windows_mean,num_windows_std,first_cycle_mean,first_cycle_std,last_cycle_mean,last_cycle_std,last_true_rul_mean,last_true_rul_std,last_decision_rul_mean,last_decision_rul_std,true_cross_exists_mean,true_cross_exists_std,pred_cross_exists_mean,pred_cross_exists_std,true_cross_cycle_mean,true_cross_cycle_std,pred_cross_cycle_mean,pred_cross_cycle_std,true_cross_rul_mean,true_cross_rul_std,pred_cross_rul_mean,pred_cross_rul_std,pred_cross_true_rul_mean,pred_cross_true_rul_std,action_cycle_mean,action_cycle_std,action_true_rul_mean,action_true_rul_std,action_pred_rul_mean,action_pred_rul_std,preventive_action_mean,preventive_action_std,protected_danger_mean,protected_danger_std,failure_event_mean,failure_event_std,unnecessary_maintenance_mean,unnecessary_maintenance_std,early_lead_mean,early_lead_std,maintenance_cost_mean,maintenance_cost_std,failure_cost_mean,failure_cost_std,total_cost_mean,total_cost_std
5.0,5,20,47.85,30.16401001193309,5.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,0.93,0.2551470164434615,207.19,48.98422092878481,208.31182795698925,47.727266951262436,5.0,0.0,4.3727479442473385,0.4590657363798598,4.161290322580645,2.329291380456219,206.63,48.58428861267807,5.56,1.1689311356961969,4.4928244749705,0.2887879611987643,0.36,0.48000000000000004,0.36,0.48000000000000004,0.64,0.48000000000000004,0.24,0.4270831300812525,0.56,1.1689311356961967,0.38799999999999996,0.5192841226149708,6.4,4.800000000000001,6.787999999999999,4.282902753974225
10.0,5,20,47.85,30.16401001193309,10.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,202.19,48.98422092878481,201.95,47.097000966091244,10.0,0.0,9.218324155807496,0.665686797887773,10.24,3.3826616738893653,200.82,47.566244333560746,11.37,2.2210583063035516,9.343513488769531,0.673696434487809,0.57,0.49507575177946245,0.57,0.49507575177946245,0.43,0.4950757517794625,0.45,0.49749371855331,1.37,2.2210583063035516,0.6385000000000001,0.5624435527232933,4.3,4.950757517794624,4.9385,4.397185776152742
15.0,5,20,47.85,30.16401001193309,15.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,197.19,48.98422092878481,197.58,47.296972418961445,15.0,0.0,13.760929050445556,1.0617977765386788,14.61,3.455126625754836,196.0,47.87191243307499,16.19,2.1619204425695226,13.810084872775608,1.17259495549241,0.45,0.49749371855331,0.45,0.49749371855331,0.55,0.4974937185533099,0.37,0.4828043081829324,1.19,2.1619204425695226,0.5094999999999998,0.5697672770526577,5.5,4.9749371855331,6.009499999999998,4.412497563738704
20.0,5,20,47.85,30.16401001193309,20.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,192.19,48.98422092878481,193.28,46.95062938875261,20.0,0.0,18.799284286499024,0.9601677720597646,18.91,3.7579116540972595,191.22,47.796146288168465,20.97,2.2020672106000765,19.01769957822912,0.804506933758569,0.34,0.4737087712930805,0.34,0.4737087712930805,0.66,0.4737087712930805,0.24,0.4270831300812525,0.97,2.202067210600076,0.38850000000000007,0.5482177943117134,6.6,4.737087712930805,6.988500000000001,4.19670617865964
25.0,5,20,47.85,30.16401001193309,25.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,187.19,48.98422092878481,187.91,46.10490104099563,25.0,0.0,23.761380882263182,1.0045423069036583,24.28,4.953947920598276,185.51,47.129501376526356,26.68,3.032754523531372,24.041327127596226,0.7411506243828182,0.41,0.4918333050943175,0.41,0.4918333050943175,0.59,0.4918333050943175,0.33,0.47021271782034985,1.68,3.032754523531372,0.49400000000000005,0.6033357274353974,5.9,4.9183330509431755,6.394000000000001,4.327217812867755
30.0,5,20,47.85,30.16401001193309,30.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,182.19,48.98422092878481,182.16,46.283845994039865,30.0,0.0,28.730815372467042,0.9525742221287054,30.03,5.965660064066674,179.78,47.29388543987478,32.41,3.7338853758518082,28.89738536834717,0.935422623580575,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.49749371855331,2.41,3.733885375851808,0.6204999999999999,0.6366747599834628,5.0,5.0,5.6205,4.381820939974613
35.0,5,20,47.85,30.16401001193309,35.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,177.19,48.98422092878481,177.17,44.794878055420575,35.0,0.0,33.751728477478025,0.999356384035295,35.02,7.075280913151083,174.29,46.263007900481355,37.9,4.362338822237447,33.73166827766263,0.9310818671720024,0.49,0.4998999899979995,0.49,0.4998999899979995,0.51,0.4998999899979995,0.46,0.49839743177508444,2.9,4.362338822237447,0.6349999999999999,0.6673642183995183,5.1,4.998999899979996,5.735,4.35412161061218
40.0,5,20,47.85,30.16401001193309,40.0,0.0,212.19,48.98422092878481,1.0,0.0,212.19,48.98422092878481,0.0,0.0,2.3066759039461613,1.59343714490603,1.0,0.0,1.0,0.0,172.19,48.98422092878481,171.85,44.324795543803695,40.0,0.0,38.446046142578126,1.20653351518858,40.34,7.693139801147513,168.94,45.905516008427576,43.25,5.208406666150408,38.53485027949015,1.1690887904064597,0.48,0.4995998398718718,0.48,0.4995998398718718,0.52,0.4995998398718718,0.43,0.4950757517794625,3.25,5.208406666150408,0.6425,0.6974372731651213,5.2,4.995998398718719,5.8425,4.331791632800451
