dataset_name,group,seed,run_dir,linex_a,rmse,mae,nasa,val_rmse,val_mae,val_nasa,seq_len,batch_size,mc_samples_val,mc_samples_test,pred_std_mean,pred_std_std,mc_samples,val_pred_std_mean,val_pred_std_std,val_mc_samples
FD001,G3,7,seed_7_a_0.04,0.04,13.747908981633728,9.370653204917907,380.95109314897235,11.217048517263896,7.442644689586786,8189.9272434375725,50,128,,,,,,,,
FD001,G3,21,seed_21_a_0.04,0.04,15.665063117542585,11.282682867050172,668.8340814476672,11.490834978016135,7.310288947817988,9940.177159139908,50,128,,,,,,,,
FD001,G3,42,seed_42_a_0.04,0.04,14.630890018880082,10.424919471740722,417.96003419874154,11.237241581441111,7.742902944392505,8937.903051614987,50,128,,,,,,,,
FD001,G3,87,seed_87_a_0.04,0.04,16.102039392777574,11.489119753837585,495.87725902642023,12.24742148550438,7.904015543131487,12340.113504134924,50,128,,,,,,,,
FD001,G3,123,seed_123_a_0.04,0.04,14.961857124941309,10.525467329025268,627.919451744057,11.79054520504225,7.952343128886086,8482.981424747128,50,128,,,,,,,,
FD001,G4,7,seed_7_a_0.04,0.04,14.951555811183972,10.8582803440094,378.4900721871642,14.861543619119761,12.182765986774395,11926.960336570462,50,128,10.0,20.0,11.66524887084961,7.034433841705322,20.0,12.633718490600586,6.894016265869141,10.0
FD001,G4,21,seed_21_a_0.04,0.04,14.167943213746906,10.423243594169616,311.12933294713116,13.822164772734492,10.912827563136014,11941.54833946381,50,128,10.0,20.0,10.480303764343262,6.155625820159912,20.0,11.72039794921875,6.09358549118042,10.0
FD001,G4,42,seed_42_a_0.04,0.04,14.83377086116426,11.259215965270997,481.29920113818565,13.53240214698755,10.745070014911029,11044.109410060288,50,128,10.0,20.0,11.139643669128418,6.195219993591309,20.0,11.73073673248291,6.327455997467041,10.0
FD001,G4,87,seed_87_a_0.04,0.04,15.31614818898599,11.06302433013916,387.6893413858232,13.934657614732112,10.944685356454348,12260.58760639318,50,128,10.0,20.0,10.063936233520508,5.662109851837158,20.0,10.975340843200684,5.828009605407715,10.0
FD001,G4,123,seed_123_a_0.04,0.04,14.643518812137554,10.83295883655548,325.8450164331202,13.829243781684664,10.83339467501964,10654.704100156892,50,128,10.0,20.0,10.530981063842773,6.261467933654785,20.0,11.432607650756836,6.267805576324463,10.0
