dataset_name,group,num_runs,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std,val_nasa_mean,val_nasa_std,pred_std_mean_mean,pred_std_mean_std,best_seed,best_rmse,best_run_dir
FD001,G4,5,14.782587377443736,0.3776201091157413,10.88734461402893,0.27869121469640445,376.89059281828486,59.91748153003417,13.996002387051714,0.45296311918385446,11.123748719259087,0.5339985069319486,11565.581958528926,609.3619604063279,10.776022720336915,0.5616948673814921,21,14.167943213746906,seed_21_a_0.04
FD001,G3,5,15.021551727155053,0.8197446387974456,10.61856852531433,0.7486478125210936,518.3083839131716,113.23651689225416,11.596618353453554,0.3861521430162808,7.67043905076297,0.253328747111149,9578.220476614904,1503.062129272701,,,7,13.747908981633728,seed_7_a_0.04
FD001,G2,5,15.4511931184719,0.9690686266799606,11.21405048751831,0.7082431548753142,526.9067998382136,209.90570599888994,13.241462016460556,0.5208352036626573,9.861204404136883,0.45239359963312936,12748.931881945071,2175.439509352962,13.210736274719238,0.36186398422171545,7,14.569152756664046,seed_7
FD001,G1,5,15.934514356008737,0.8528370932051791,11.620792460441589,0.6402387084925041,509.16269159641433,159.17635391013755,11.754117131079354,1.0105286173860528,7.779518913395563,0.9353525976644281,10217.493989080349,1357.3698563935573,,,21,14.863513172073645,seed_21
FD002,G4,5,16.784441396995792,0.5456387849864999,12.503218938393022,0.4001382427247425,1545.277792222891,97.275233240188,16.15871986264623,0.5143703194744915,12.342924132248077,0.41354792688203046,61657.62111312421,13986.177548368423,9.616347885131836,0.3556876675781627,42,16.033186206315538,seed_42_a_0.04
FD002,G3,5,16.82716830898803,0.7012325640670419,12.233849878016585,0.42092123596994135,2026.6775275610726,539.268400800673,15.075339033251842,0.6552921433997538,10.470928026312702,0.4427003264809666,60921.30630638932,12377.750559066873,,,7,16.002928626303255,seed_7_a_0.04
FD002,G1,5,19.04362738214515,0.5280082577633429,13.55904782158988,0.47133840828534734,3380.0814670326813,490.0834719835653,17.46574548139853,0.7289791045405158,11.77376610197299,0.43583516230308167,117911.36007794582,23744.152595268417,,,21,18.456205422959894,seed_21
FD002,G2,5,19.43455202518967,0.41222083773035084,14.011648911214703,0.3312731595536641,3213.892676425451,383.2254199342486,18.09786336770878,0.6116049590916962,13.132078718627147,0.5214558123306852,144601.57723621474,19159.786292870933,11.137775993347168,0.9222591785602733,42,18.63931176127475,seed_42
FD003,G3,5,13.245750456577216,0.27898279395794856,9.315788760185242,0.30605347816343975,344.5286248447424,67.43230072284568,11.149838328605515,1.438980774901723,7.410692154371207,1.0348360666398089,11039.764380051178,3573.0017945879094,,,42,12.855157618222211,seed_42_a_0.04
FD003,G4,5,13.566076175824765,0.4408051464354782,10.085779172897338,0.40789144973504643,280.98733554312173,25.846981070059762,13.868209533481245,1.034418331579148,10.902244596126522,0.68562247987209,12960.624598521574,3037.795924690365,10.47657642364502,1.0426984195126139,87,13.212272006839965,seed_87_a_0.04
FD003,G1,5,13.900715448635216,0.5960422480898964,9.59549926185608,0.45916999138678255,545.029203064672,202.84386369725505,11.4009832903283,1.8295793558912095,7.247157065716351,0.979972969275948,13374.85130209811,5720.365441643955,,,87,13.270611634468292,seed_87
FD003,G2,5,14.504046176114334,1.0579748728363585,10.217948705673217,0.806598638394771,644.9223822437159,313.74135531040054,13.02738378679357,1.252260703933864,9.705792118919678,0.9250453493269603,14802.86349507478,3328.255543567425,14.066267776489259,0.8312926806296194,7,13.20876457883012,seed_7
FD004,G4,5,19.43874159438034,0.739642520119712,14.485904867033804,0.6288673967037283,2663.8527808916774,657.467412721464,17.7668469859595,0.15727175714500427,13.120293068813993,0.6301519272087784,169990.34394078713,88494.98231410654,10.420111846923827,0.6020568268646838,87,18.70947488313493,seed_87_a_0.04
FD004,G3,5,20.091440447224016,1.1015305926844192,14.060763071044798,0.7461671154236034,4452.087950804178,2902.0759383652507,16.546188770831485,0.684988072405831,10.709622103040795,0.16829092596053213,203901.53007935028,131638.07139737598,,,87,18.76185886117829,seed_87_a_0.04
FD004,G2,5,22.643106212514137,0.6289444515856547,16.78313785368396,0.6662480076136809,8248.756499195555,2824.912702236326,19.429594967924857,0.8262885617181394,14.011297863027233,0.9960170810066161,251159.88821293638,91994.47379442496,12.491176414489747,1.5728256772610554,7,21.920232248276637,seed_7
FD004,G1,5,23.06905203767068,1.2834743959561736,16.478044692162545,0.8401062333167774,11006.482540478826,8076.108235926434,18.87099964594011,0.5041393937154371,12.265834136746644,0.291897717183834,267716.61995497753,98105.69072880204,,,21,21.805861764718227,seed_21
