group,scenario,a_tag,linex_a,seed,train_run_id,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maintenance_run_id,maint_count,early_count,fail_count,total_cost,maintenance_utilization
G3,A_sigma_1,a_0p4,0.4,1,20260327_225552_854857,8.013053894042969,6.145565509796143,4069.698974609375,-5.158397197723389,0.21800679501698755,0.020196300490751228,0.00018875047187617969,0.0,0.0,20260328_080533_502843,160,29,34,898.0,1.0
G3,A_sigma_1,a_0p4,0.4,2,20260327_225659_165022,8.142460823059082,6.4144606590271,4162.9248046875,-5.748359680175781,0.16232540581351454,0.010570026425066062,0.0028312570781426952,0.0,0.0,20260328_080533_640736,160,9,32,818.0,1.0
G4,A_sigma_1,a_0p02,0.02,0,20260327_225115_465924,5.154691696166992,2.653358221054077,2312.7802734375,-0.6652135252952576,0.46847867119667796,0.037938844847112116,0.0028312570781426952,5.644696235656738,10.070460033416747,20260328_080533_774952,160,23,31,826.0,1.0
G4,A_sigma_1,a_0p02,0.02,1,20260327_225232_894557,4.90820837020874,2.7609541416168213,2083.6455078125,-1.241038203239441,0.3616459041147603,0.026802567006417515,0.004907512268780672,5.806743621826172,10.31293363571167,20260328_080533_908323,160,28,24,696.0,1.0
G4,A_sigma_1,a_0p02,0.02,2,20260327_225349_820463,4.856905460357666,2.901804208755493,2087.306640625,-0.6613624095916748,0.4637599093997735,0.050585126462816155,0.0056625141562853904,5.557562351226807,9.74945526123047,20260328_080534_042339,160,38,19,616.0,1.0
G4,A_sigma_1,a_0p03,0.03,0,20260327_225506_754991,4.187723636627197,2.5863425731658936,1619.5364990234375,-1.31869375705719,0.33993959984899963,0.01774254435636089,0.00018875047187617969,5.539895534515381,9.83631820678711,20260328_080534_181234,160,33,25,726.0,1.0
G4,A_sigma_1,a_0p03,0.03,1,20260327_225623_798798,4.151487350463867,2.605954647064209,1635.2618408203125,-0.8733285069465637,0.4331823329558324,0.02434881087202718,0.00018875047187617969,5.641635894775391,10.05255651473999,20260328_080534_315828,160,36,17,572.0,1.0
G4,A_sigma_1,a_0p03,0.03,2,20260327_225739_497679,4.552567958831787,2.762845993041992,1802.760009765625,-1.654494285583496,0.31483578708946774,0.016043790109475275,0.00018875047187617969,5.523921012878418,9.77221508026123,20260328_080534_451161,160,24,26,728.0,1.0
G4,A_sigma_1,a_0p04,0.04,0,20260327_225856_013659,4.054408550262451,2.81465220451355,1598.96728515625,-1.6704221963882446,0.321442053605134,0.009248773121932804,0.0,5.582037925720215,9.913998317718505,20260328_080534_586157,160,36,19,612.0,1.0
G4,A_sigma_1,a_0p04,0.04,1,20260327_230012_729955,4.412475109100342,2.7858805656433105,1765.442138671875,-1.3602546453475952,0.3457908644771612,0.022083805209513023,0.0056625141562853904,5.690283298492432,10.038611602783204,20260328_080534_723020,160,28,26,736.0,1.0
G4,A_sigma_1,a_0p04,0.04,2,20260327_230129_323380,3.930222749710083,2.709841012954712,1644.675048828125,-0.3653077483177185,0.4983012457531144,0.044167610419026046,0.0005662514156285391,5.587996006011963,9.745139312744142,20260328_080534_857768,160,36,26,752.0,1.0
G4,A_sigma_1,a_0p05,0.05,0,20260327_230246_164741,4.049808502197266,2.751685380935669,1588.865478515625,-1.6027945280075073,0.32483956209890524,0.011325028312570781,0.0,5.57849645614624,9.840349483489991,20260328_080534_991926,160,26,28,772.0,1.0
G4,A_sigma_1,a_0p05,0.05,1,20260327_230402_986840,3.581838369369507,2.6350409984588623,1464.216552734375,-0.9992046356201172,0.38825972064930164,0.02491506228765572,0.0005662514156285391,5.616043567657471,9.96265983581543,20260328_080535_132954,160,27,23,674.0,1.0
G4,A_sigma_1,a_0p05,0.05,2,20260327_230520_581047,3.99078369140625,2.6213643550872803,1509.06689453125,-1.6020865440368652,0.321442053605134,0.005473763684409211,0.00018875047187617969,5.425484657287598,9.532607364654542,20260328_080535_276703,160,10,39,960.0,1.0
G4,A_sigma_1,a_0p07,0.07,0,20260327_225805_933029,4.150087356567383,3.0671067237854004,1704.9306640625,-1.846656084060669,0.30936202340505853,0.01925254813137033,0.0015100037750094375,5.618497848510742,9.844383239746094,20260328_080535_415840,160,9,38,938.0,1.0
G4,A_sigma_1,a_0p07,0.07,1,20260327_225923_707035,3.223358631134033,2.2518017292022705,1308.13671875,-0.05884493142366409,0.5298225745564364,0.02850132125330313,0.00018875047187617969,5.6469292640686035,9.960032272338868,20260328_080535_555412,160,33,23,686.0,1.0
G4,A_sigma_1,a_0p07,0.07,2,20260327_230041_274809,4.185366630554199,2.8938941955566406,1661.44287109375,-1.6295760869979858,0.3452246130615327,0.013023782559456399,0.00018875047187617969,5.575752258300781,9.726868534088135,20260328_080535_696283,160,24,29,788.0,1.0
G4,A_sigma_1,a_0p09,0.09,0,20260327_230157_149036,4.258478164672852,3.224616765975952,1732.1561279296875,-2.5058937072753906,0.232163080407701,0.005851264628161571,0.00018875047187617969,5.506392955780029,9.76991195678711,20260328_080535_840463,160,32,31,844.0,1.0
G4,A_sigma_1,a_0p09,0.09,1,20260327_230313_743824,3.4873876571655273,2.468984842300415,1328.3935546875,-1.5201584100723267,0.29426198565496414,0.008682521706304265,0.00018875047187617969,5.6559224128723145,10.131626605987549,20260328_080535_979520,160,32,34,904.0,1.0
G4,A_sigma_1,a_0p09,0.09,2,20260327_230431_423584,4.504855632781982,3.4009850025177,2045.34912109375,-0.8053517937660217,0.4690449226123065,0.06266515666289166,0.003020007550018875,5.671469211578369,9.76913890838623,20260328_080536_123217,160,30,43,1080.0,1.0
G4,A_sigma_1,a_0p1,0.1,0,20260327_230548_507052,4.506126880645752,3.369262218475342,1850.04443359375,-2.4906837940216064,0.2738769346923367,0.005096262740656852,0.0,5.578256130218506,9.871735858917237,20260328_080536_261385,160,43,14,526.0,1.0
