scenario,group,a_tag,linex_a,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maint_count,early_count,fail_count,total_cost,maintenance_utilization,n_seeds,rmse_std,mae_std,nasa_std,bias_std,over_rate_std,danger_over_5_std,danger_over_10_std,pred_std_mean_std,pred_std_p90_std,maint_count_std,early_count_std,fail_count_std,total_cost_std,maintenance_utilization_std
A_sigma_1,G4,a_0p2,0.2,5.584286371866862,4.279903570810954,2479.5826009114585,-3.187910477320353,0.27154901220586386,0.01642129105322763,6.291682395872656e-05,5.577957948048909,9.724895985921224,160.0,30.333333333333332,28.333333333333332,787.3333333333334,1.0,3,0.33565448120054586,0.33687506229914854,262.3385491158749,0.14974050717322598,0.03885571082100049,0.013948391685045162,0.00010897513574738124,0.10431507911011895,0.1478305418736532,0.0,12.096831541082702,2.081665999466133,17.473789896108197,0.0
A_sigma_1,G4,a_0p3,0.3,6.891424338022868,5.454184691111247,3296.3577473958335,-4.764965216318767,0.1781175286271549,0.00843085441046936,0.001006669183339625,5.454573472340901,9.582728036244712,160.0,23.333333333333332,31.333333333333332,833.3333333333334,1.0,3,0.17424139019452003,0.2022043535851214,115.54594938317126,0.46768529974180456,0.051052147000524,0.008117001848682592,0.0017436021719580998,0.038945263373040946,0.11897696680098152,0.0,7.371114795831994,4.041451884327381,93.47370396712292,0.0
A_sigma_1,G4,a_0p4,0.4,7.8783895174662275,6.08186674118042,3959.3675130208335,-5.270960807800293,0.20057883478042027,0.014030451742796024,0.0020762551906379767,5.267413298288981,9.200257301330566,160.0,26.666666666666668,34.0,893.3333333333334,1.0,3,0.5155493808501866,0.41008877884139827,394.9145448093331,0.38903656782117296,0.03004474335072121,0.00840381315331139,0.0018005647440863452,0.06298684620333866,0.11933393715492314,0.0,2.081665999466133,3.605551275463989,72.23111056416987,0.0
A_sigma_3,G3,a_0p02,0.02,3.6416659355163574,2.829204877217611,1534.3704833984375,-1.2920775214831035,0.2928945018497257,0.04082153335884679,0.005357826253348641,0.0,0.0,160.0,28.0,39.0,996.0,1.0,3,0.33358854491159,0.35264203975156944,188.41488789558213,0.45772344948382676,0.05548594309798432,0.004513340877748305,0.005102293006495746,0.0,0.0,0.0,4.358898943540674,7.0,144.34680460612904,0.0
A_sigma_3,G3,a_0p03,0.03,3.386963685353597,2.52829917271932,1467.8876953125,-0.07979908585548401,0.43385635922949356,0.06946039035591274,0.007335119275417783,0.0,0.0,160.0,22.666666666666668,38.0,965.3333333333334,1.0,3,0.032134750009894145,0.0751985854687255,13.82671743653808,0.5549914561854751,0.06072079136551538,0.015116724071947956,0.0010880674900645478,0.0,0.0,0.0,2.5166114784235827,7.211102550927978,148.9474180149939,0.0
A_sigma_3,G3,a_0p04,0.04,3.478095531463623,2.6923953692118325,1508.1937662760417,-0.5493011126915613,0.3990304885827274,0.054853935450950374,0.005038908023982651,0.0,0.0,160.0,30.0,41.0,1040.0,1.0,3,0.08252632550715794,0.04706767516651356,50.78377187325867,0.2781031999853805,0.023485810537085917,0.014640952037144196,0.0017150567240398968,0.0,0.0,0.0,13.892443989449804,4.358898943540674,104.74731500138799,0.0
A_sigma_3,G3,a_0p05,0.05,3.4825774828592935,2.7216259638468423,1505.6151936848958,-0.7768027087052664,0.3598673300165838,0.053323127949993616,0.005676744482714632,0.0,0.0,160.0,33.0,39.333333333333336,1012.6666666666666,1.0,3,0.16419596431324346,0.15959478755914713,48.479853949796535,0.5324766557499514,0.05203068567412795,0.012288743339198419,0.002548154656899882,0.0,0.0,0.0,12.529964086141668,7.234178138070236,150.2043053089136,0.0
A_sigma_3,G3,a_0p07,0.07,3.63273294766744,2.9170994758605957,1587.9828694661458,-1.036763568719228,0.36216354126801886,0.0471998979461666,0.00369945146064549,0.0,0.0,160.0,31.666666666666668,41.0,1043.3333333333333,1.0,3,0.013065651417228262,0.03961168385974022,21.810237755026332,0.22356074601925416,0.02473489983542057,0.008519594735216943,0.001053878788229258,0.0,0.0,0.0,3.0550504633038935,3.605551275463989,75.0821772016058,0.0
A_sigma_3,G3,a_0p09,0.09,3.998525063196818,3.2309850056966147,1748.5,-1.554355263710022,0.3337798188544457,0.039354509503763235,0.002806480418420717,0.0,0.0,160.0,29.0,48.333333333333336,1184.6666666666667,1.0,3,0.13717864929297435,0.07108549409315132,75.63568082843086,0.36776713456689364,0.03340722873772634,0.018049306727261027,0.0032939791640962763,0.0,0.0,0.0,11.357816691600547,17.897858344878397,367.218372815595,0.0
A_sigma_3,G3,a_0p1,0.1,4.027298291524251,3.2763541539510093,1745.6357828776042,-1.7705849806467693,0.32421227197346597,0.029021558872305144,0.0008929710422247737,0.0,0.0,160.0,31.0,49.666666666666664,1215.3333333333333,1.0,3,0.06671021656778682,0.04255248621472297,41.413739236847256,0.12517831711709157,0.02980430344891902,0.005744778797906725,0.00011047651534436011,0.0,0.0,0.0,11.357816691600547,9.073771725877467,188.5983386282428,0.0
