epoch,train_loss,val_loss,val_rmse_det,val_mae_det,val_nasa_det
1,5536.780177778179,1707.134956586479,40.80707259830513,36.8221289019162,3592751.7523683496
2,1127.944080040763,484.45543466700184,22.073708903196163,17.727792725208843,307466.4680612107
3,761.0853548477696,414.6878407166736,20.43642719833438,15.53671920061409,149024.59669292084
4,675.955824638105,420.7248771025403,20.5709126455675,15.368332509021188,339303.85609597754
5,643.4122580173462,387.02887648403055,19.73140879056769,14.81154126144676,153466.0890535812
6,599.3606527927368,404.76555529679405,20.18991243276131,14.692109654942405,199055.09133773678
7,571.2420774273634,350.02029255593175,18.76826159860025,13.912775445929478,173865.31894738032
8,548.2864310634482,359.56837576686746,19.024847619975613,14.011431143413322,156251.54051874555
9,523.9396078064448,375.3572484384669,19.450361250218307,13.761052948891297,173210.5723597147
10,512.840127346069,454.2160520553589,21.37732329147052,15.349903108624186,188203.81832416175
11,492.6084072143233,398.6937956385093,20.047580913031076,14.28565693498774,166214.3608625095
12,482.17570845873183,378.70019232872687,19.531073343415866,13.96730085068874,178904.93257743143
13,464.14018084443023,478.65818584555444,21.96519377429913,15.590285952804091,176735.37546672003
14,444.75387331678246,398.7447522984873,20.03746435390476,14.4110564511367,272639.64962679293
15,428.3040056455104,342.3833429317663,18.55974274483147,13.02916183089198,165848.74635837946
16,423.43269392431256,389.0978540028676,19.805216339324367,13.197509242317054,203353.15905614418
17,403.6496386767063,366.18676013757687,19.200868887580413,13.313693956601039,164630.33731785853
18,388.9052088191453,402.0035773078994,20.1234059330016,14.445488666252846,138375.64358640305
19,373.8643186866136,336.8711609793181,18.421234670104337,12.730055963501949,192511.51515345532
20,364.288078891885,367.60688570230315,19.24175459964856,13.52484920602315,166555.9746702152
21,346.6956715848012,365.03381810329927,19.15844670685384,12.102813899814711,243996.83886299824
22,337.97618372773746,470.6598971432979,21.765478897757543,15.69434951775976,161073.33200472666
23,324.5706551987137,372.1067960002635,19.324420173802427,13.652721886703286,316409.74004619697
24,316.5153867776916,412.02708673005054,20.370898476615153,14.154631134573737,176203.14440460614
25,308.4682808023015,381.0724764153509,19.585579762186033,13.57595281234097,173569.55126655818
26,295.48816054854984,418.33080911164234,20.5219683741609,14.57274816005715,169355.6180187772
27,289.3484301806125,349.5371601180275,18.739704456475252,13.204050125589085,213595.8856882091
28,275.46752905531105,341.1876879021673,18.51785144392482,12.965402964535128,206873.37376389478
29,272.7770071709062,391.49270216309196,19.839086496074838,13.476423102818178,201264.3660161868
30,264.8093144962844,409.0946858047259,20.2939537234481,13.721640724479482,200625.5693796632
31,256.152116518851,399.67847093261116,20.063987194662648,14.364603729358178,157650.4714979998
32,244.55280144925482,352.27960149368437,18.82648755276428,12.824303928237134,253545.9799298832
33,239.4630903983808,387.1276847348355,19.701370945554782,13.6375546668948,278050.7932469564
34,230.87442580250763,395.1788879149031,19.946026947697668,13.443281417780005,271759.6141485702
