epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa
1,9512.289804311898,7743.811086554277,88.41965427323976,79.29331388416024,13225284.066246148
2,5899.9847412109375,3616.835383766576,60.45436080333502,52.22121008942564,1080931.9647049753
3,2002.1669593224158,650.2659799676193,25.587190657682033,22.81388975711157,43614.18549508261
4,280.05897389925445,218.1504480085875,14.798780853279874,10.060663491196356,23288.59367357508
5,127.18137501447629,170.71218826111993,13.010552359044192,8.876029758858746,15824.802285108917
6,87.36973537542882,163.37581349674025,12.679026730173302,8.473661501116228,14477.989142124932
7,69.54399059980344,167.96810451934212,12.980511335833246,8.244550608573944,16655.81942509971
8,62.22358926137289,157.94673520012907,12.383078723071497,7.886146136974005,16947.79308411142
9,54.77606808833587,193.78705293253847,13.801531482512408,8.59703435564061,23469.411390917423
10,47.63466414427146,161.80564580465617,12.46102798528788,7.92131854047698,15981.576453399857
11,39.892454049526116,176.043446992573,13.1698569498546,7.871597353447204,18860.932749351043
12,37.95911835401486,187.635578243356,13.565624340239248,8.235414017153689,21733.227083814927
13,30.860160625897922,183.74706780596784,13.517149277322902,8.161881844269786,18349.42404556168
14,26.530394395192463,195.6272009218994,13.880600078139453,8.519353675435918,24402.961951038877
15,24.67270716642722,170.84610567594828,12.966536721863498,7.767646316523315,16646.85195429484
16,22.826242544712166,163.6424538806865,12.801526091713786,7.845301388710817,15571.034597004369
17,19.939842535899235,190.4992938182856,13.694529712346993,8.255165501893174,21217.327163673937
18,19.58844656822009,182.04495775542762,13.339092066091355,7.787313239635387,21407.39318214521
19,17.04490716029436,175.85236789678274,13.030667361390744,7.993077206824728,16932.976676424187
20,16.136867425380608,174.4289084892524,13.04791303552655,7.753636047259558,19984.323477061138
21,13.311561688398703,202.17628666327187,14.090746347468375,8.397171361682767,20961.45926006182
22,13.717207664098495,192.9043569107981,13.776043811209593,8.380970392668106,16700.121335754804
23,12.378424326578775,193.64949758076355,13.752201123778088,8.266471888246667,19726.3507015023
