epoch,train_loss,val_loss,val_rmse_det,val_mae_det,val_nasa_det,linex_a
1,2.4756398505942765,2.0711247035951326,82.27931461974316,72.41434143212742,8169513.50334357,0.04
2,1.1567475273627643,0.4345623960323406,28.50421499928362,23.941317165184792,45737.24713005213,0.04
3,0.5016761572324029,0.29193595119497995,22.98992304283295,18.70807948327218,30241.995142263422,0.04
4,0.41596027215321857,0.26745093805771886,22.13934644027369,17.796954947879037,27001.53785072657,0.04
5,0.3578776210084442,0.19259926067157226,16.999508401196913,14.181132386348235,14158.049427536793,0.04
6,0.3401798443045727,0.25772355621059734,21.491697853355515,17.68986093310592,23414.66859742665,0.04
7,0.3244835909946944,0.21030483157797294,19.047947928263287,15.721596837242586,17730.914905560203,0.04
8,0.31330248574877895,0.1566761186854406,15.392658075718064,12.823905820133064,11287.709948059677,0.04
9,0.31691739321217055,0.3158517904353864,24.4355219471512,19.88744379325455,33398.012158139274,0.04
10,0.30577979508296466,0.1663553924723105,16.353354470493155,13.521224312649359,12262.608889688134,0.04
11,0.291016662998717,0.20852736699761767,18.985558424211888,15.537558660014119,17150.325014209862,0.04
12,0.28555702539377437,0.18594739586114883,17.776789561205934,14.413687396680055,14849.233740640804,0.04
13,0.27365040894626647,0.21744451784726346,19.481317184507187,15.79155836231458,18584.3234718191,0.04
14,0.272568064373593,0.22698572368332834,20.115339100459003,16.07784488123316,21737.418249261824,0.04
15,0.2698049063599387,0.17020157024715887,16.849070311440098,13.638086907886908,13454.87150012938,0.04
16,0.26806769860807317,0.1906281468091589,18.035869491020993,14.726928444967571,15183.815388490511,0.04
17,0.266033106534056,0.20556405638203476,18.832401462167713,15.321215366845703,17023.0271598467,0.04
18,0.2545494362134342,0.14060612180919357,14.907444590689025,12.362240632659116,10082.25549939749,0.04
19,0.25333166157090387,0.16960989119428577,16.756692736548036,13.62988633271027,13278.583394006462,0.04
20,0.249492639488028,0.25106411788499716,21.36329896585443,17.28804313537192,24524.26930597493,0.04
21,0.2486787074527075,0.19399970679572134,18.23520046114185,14.755708731325688,16371.852290199578,0.04
22,0.24737152977045193,0.1595734435726296,16.067365225817174,13.165188964446557,11881.165991747828,0.04
23,0.23975023546422175,0.15489895325718503,15.582250192129747,12.72502711218597,11744.05088787725,0.04
24,0.23645746800326561,0.15371295967788406,15.751688125406618,12.732500794219607,12065.4522349607,0.04
25,0.23083900204000546,0.1614596410231157,16.295751177763,12.953979520363724,13226.026094451416,0.04
26,0.22332990804845973,0.14751291331468205,15.113217161530022,12.443315099357621,10753.796490954299,0.04
27,0.22276581176953722,0.16825052294315715,16.609569951653405,13.579998730079373,12839.505016712617,0.04
28,0.22336835858895798,0.15588493521014848,15.755280468104909,13.0554767911537,12123.367214916969,0.04
29,0.22687912611074226,0.1640429220190554,15.806519841095032,12.660360170200322,12976.126621276344,0.04
30,0.21772853152234425,0.15301486082149274,14.718763523089832,12.133083445417446,11948.018240884336,0.04
31,0.2148913958275965,0.16277654491590732,15.13600148674893,12.380145673840449,13140.87845333921,0.04
32,0.21381990600001904,0.14977328490578767,15.500079958576862,12.4394083637722,11872.028553742475,0.04
33,0.20956981759662777,0.1368321239045172,14.491580121120434,11.844342445117222,10137.22005262506,0.04
34,0.2162862191366595,0.14470863647081636,14.917408301056504,12.38416746499455,10627.00369249921,0.04
35,0.20299556042796882,0.15320852195674722,14.849157375363454,11.893729778991474,12584.868504878359,0.04
36,0.21015725821949716,0.1719324877767852,16.559350027708692,13.648819448835997,13155.016746045443,0.04
37,0.20291091813597567,0.13352089877607246,14.367331076986533,11.554086734034602,10350.901704980217,0.04
38,0.19566510652386865,0.1565836431515036,15.701197550408443,12.396028013322534,13089.8976899402,0.04
39,0.19644746790791667,0.12312569367614659,13.034230934330775,10.468932388906454,9712.688383464458,0.04
40,0.19310748005329176,0.19268542979702805,18.028841329152844,14.585617276183305,15972.799555859365,0.04
41,0.19711878029413002,0.2003741722666856,18.660980487908006,14.586465787910296,18350.789990856832,0.04
42,0.18971318191336106,0.1571959156091466,15.387615678133958,12.593946298417915,12136.66823629487,0.04
43,0.18731548735337664,0.1470491842112758,13.82180027759485,11.316266304372407,12016.849622548432,0.04
44,0.1863641277417656,0.13543845103545624,14.224604405855754,11.56047303568104,10654.105720798212,0.04
45,0.18455298510632773,0.14112752303481102,14.503756505238583,11.623181615524528,11457.37539327088,0.04
46,0.1761688573877941,0.1450552445921031,14.800546796873661,11.80935795681517,11402.861409890535,0.04
47,0.1780885643390722,0.15205348858779127,14.73092522921881,11.428148731323034,13330.824823685038,0.04
48,0.17199025949997496,0.13858409005809913,14.6116557459621,11.630504475680596,10780.64546659111,0.04
49,0.17154905916184418,0.14542266861958938,14.928055519217255,12.062457631933482,11073.546232234388,0.04
50,0.17129490472549616,0.13851810020930838,14.128778312946013,11.278683303565334,10963.081464589224,0.04
51,0.17033399294975193,0.13610479071962112,14.143386365082241,11.142868547460026,10507.96954663072,0.04
52,0.16344738497521527,0.17015898193825374,16.65759922596468,13.174413062289467,14347.759854435111,0.04
53,0.16497711999009745,0.15035335019682394,15.528212661254523,12.31456013489315,11967.664094378299,0.04
54,0.1654929808059404,0.12316292450960839,13.349522517765642,10.512197845119053,9378.983693189475,0.04
