epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa
1,8491.266197865403,7684.445207868303,87.82126634712802,78.25957685826711,12928544.141187198
2,5559.512283925935,4216.51335797991,65.06583859003705,57.39775004549557,1602345.416150428
3,2405.725095733883,1220.7866452898297,35.02592848042065,29.954776297779873,89392.86711324942
4,529.9556442621187,246.13765716552734,15.697509249197525,12.14056963844081,34369.80041542102
5,195.01905137910617,165.66228190830776,12.884690359237844,9.310969014784163,18324.366930074015
6,127.66709614550973,132.87115810939244,11.548545533816657,7.360570204108151,15449.28744161918
7,92.01357879037933,137.35419366700307,11.743200869671886,7.293917975503837,13774.729943204795
8,68.23053876621516,185.7191678421838,13.642035471903633,8.8092032326168,12933.053673750637
9,60.27857065576268,124.72370853424073,11.18903229181296,6.828099160759478,12712.064863274569
10,53.081614456777494,183.64157160350254,13.58162046523992,9.096470317198047,11317.647335366184
11,48.16012906652736,160.64426762035916,12.699051358777108,8.023276352806809,12149.827395300701
12,38.67064955103116,141.09121762684413,11.890571877715363,7.655724934243749,10232.650273897125
13,34.63873752083365,150.36783612115042,12.260603906479934,7.6719494161314765,15974.666557482597
14,29.701560688769725,159.7876378604344,12.667793148954871,8.110573628178297,10981.308649949997
15,25.629266415994,165.62517976760864,12.8997506587481,8.133224151680778,11129.030036464694
16,23.27359484875296,160.85071442467824,12.707159737421657,8.17433660679047,11516.010218414282
17,21.008145490030603,195.12458043779645,14.002506368228014,8.983725257799751,12093.725933855518
18,21.266058741592047,204.14115353993006,14.31983298540452,9.23330630107216,13300.812741116468
19,16.989937301695814,201.5759438071932,14.21469475375007,9.197389561850143,14099.782977081359
20,19.644048322842817,159.6629841191428,12.65144931146649,8.052207767394918,11735.716892813196
21,14.886951514116422,167.2579977290971,12.941261614204203,8.279437545680272,11668.1068134105
22,17.831685223917322,164.86752126557485,12.833696776945066,8.055775933496026,14007.405480091218
23,15.02635625403697,181.343149627958,13.451098660977292,8.57742397895474,15998.5785948206
24,13.764791443591982,171.10988862855095,13.086187896123029,8.168009490015477,15186.632599625354
