epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa
1,9194.308030827031,6801.6416675464525,82.49156413394135,73.41655346466541,7909893.4201338
2,4482.008527816481,1983.4295951224663,44.549339498115856,38.1694294634013,233658.4315352068
3,773.3657997277132,330.00856818379583,18.166507551527964,12.741114245565484,54905.56094454821
4,190.6295914862566,294.5412726788907,17.15993504434266,12.343690555161675,28472.955610749785
5,118.54580892575015,238.5753939409514,15.436108332264332,10.460884163642675,25470.76603952498
6,88.3878837634044,213.80615372915526,14.612860751089986,9.737419975302728,19800.595824249525
7,71.99634051474796,211.87588681401434,14.544897329040602,9.051836465905001,22461.491474356775
8,62.49207118817955,210.04884189689483,14.48561553437693,8.878273218649731,22339.4121482135
9,52.93747386810886,217.97236293232118,14.75302971093783,9.393799944011619,21351.384863634266
10,48.38112165366009,243.4759968132586,15.584997045569478,9.306328906878413,28816.983236064654
11,46.08283295601037,236.46703489245596,15.36809407616634,9.13080361100986,26083.803152064385
12,41.2415878271601,258.8355094905238,16.07308006841417,9.328405958364954,33871.00402037273
13,37.03427492129575,232.08109774460664,15.22544735813237,9.14374387054212,27780.113195332586
14,34.46258612954693,242.34084420912976,15.556258752753607,9.700655503171738,21859.61775107055
15,29.249367234053885,266.0322898465234,16.298265422566757,9.410096384717162,32720.682219496688
16,27.84993188092663,255.06604885893898,15.96362439583049,9.372429039049027,30552.1275861666
17,23.89239276594417,282.9692372115883,16.820525151055897,10.448278884556922,24542.94146438673
18,24.947235581221854,268.80571396528063,16.382659059684393,9.609245740352726,31858.77923577809
19,22.365706133994326,260.8495369118613,16.13921792309933,9.39904614525988,35533.63856682548
20,19.95142801248344,284.9815116895212,16.881065434723638,10.198470155705342,28265.867007970308
21,19.436613684247252,256.4062539500159,16.00935515851333,9.437322302375836,32249.60742725785
22,18.77400616323872,272.6377817585662,16.51176100337384,9.833083164201938,25622.257999079706
23,15.835244931992452,277.5952204014804,16.657575816290304,10.014201659183328,32303.628643689204
