epoch,train_loss,val_loss,val_rmse_det,val_mae_det,val_nasa_det,linex_a
1,1.7651714279463417,0.8447703523467286,44.55351607972045,37.98512648064483,1296466.4990165057,0.04
2,0.5942391302240523,0.4816245480318262,30.994981624634683,25.310145043321846,302293.8089988774,0.04
3,0.5029763834256875,0.3791573855160463,25.29288850244768,20.946902768144632,153224.37840515046,0.04
4,0.4611043892408672,0.3410203394037907,24.327546748740517,20.001966365897314,129322.70681605031,0.04
5,0.4305234046358811,0.2998245379163159,21.14273105391101,17.38403666825836,104341.71318728058,0.04
6,0.3976678831796897,0.28508828271820086,20.459340825759686,16.576677154088905,103491.64001218267,0.04
7,0.37012686768644737,0.2879441531770157,22.084581115008774,18.076230838705477,99223.68821992306,0.04
8,0.3552533341473655,0.29734193085871563,22.617942942149853,18.546857615486015,107425.18691156144,0.04
9,0.3388849425864847,0.2749557877429808,20.60075610414804,16.440466380249177,102315.94724654908,0.04
10,0.3339357397666103,0.28880599190038864,21.879731977530557,17.676353974447355,103934.01030418187,0.04
11,0.32218398318478936,0.2980139445174824,23.081396323867978,18.639705416698728,123924.15066585262,0.04
12,0.318633858114481,0.2633263500350894,20.45975947521842,16.42253732651164,92612.00124792043,0.04
13,0.30809691528740685,0.2702659300782464,19.55845020763635,16.394098923288944,79289.7418983301,0.04
14,0.29035927633705894,0.29833595349331093,22.872594374318144,18.187006783189954,135871.13298154797,0.04
15,0.2821074673219731,0.2870585017207295,21.628149734690417,17.22108988528922,109977.09806054166,0.04
16,0.27751360445430406,0.28058272193778644,20.10773485806529,16.297691175278796,92787.0812965171,0.04
17,0.26634540628445774,0.2667426409369165,21.255428088106207,16.0966071810396,123664.51629122574,0.04
18,0.2627497764010178,0.26528302004391496,18.57457019118555,14.571232648286873,92636.12996461557,0.04
19,0.253022542909572,0.3141131152709325,24.264859272564102,18.765546075226393,158872.19363446243,0.04
20,0.24563634874005066,0.277003741136404,21.918833258318088,16.545314910276527,142760.3913376008,0.04
21,0.2494055095079698,0.26948499322088076,20.7187926039989,16.114938219002536,108360.90280381782,0.04
22,0.2391097180937466,0.26904196269584424,21.03564565637099,16.900601548190295,91393.35937567442,0.04
23,0.23149695294468026,0.26195987283882466,21.03814742952889,16.244332343535167,109417.13096473746,0.04
24,0.22785624320569792,0.28707095288267037,22.582085257417734,17.452732126266223,126034.68919001997,0.04
25,0.22386953779741336,0.24914632131806527,19.327544039705447,14.981946548974094,83150.59593943597,0.04
26,0.21278489518322444,0.24947813706416072,17.89353837418635,14.154584575559433,78128.94831949827,0.04
27,0.2138578716861574,0.23793723287455965,18.791958927638213,14.675300076706218,82564.14457710614,0.04
28,0.20802487272181008,0.2476829162827044,19.332780584831845,14.39923667984873,101812.65486101824,0.04
29,0.20424976188101265,0.2532189628767847,18.473652554510572,13.194022559396977,98170.63077283863,0.04
30,0.19918336574184267,0.2450931596597939,17.41409446723066,12.639835447658726,93279.00724798095,0.04
31,0.1980120642993011,0.25295511162792794,20.284181140850265,15.548363690839606,107990.09855844817,0.04
32,0.19417352621492587,0.22776374075975683,17.48597175416715,12.962938518002506,76184.2431336928,0.04
33,0.19011065885424613,0.23748564944047518,17.793083746345104,13.542538754103903,79596.36721719448,0.04
34,0.1834545380779003,0.24661453218773158,18.373286398058585,13.392465751976003,94693.05569858712,0.04
35,0.18460356028456437,0.2634168267250061,19.258331571006217,14.532176011287476,100376.53490664103,0.04
36,0.1843419942024507,0.2320368472825397,18.79151745461307,13.99562451001811,83365.11581635161,0.04
37,0.18082038377852816,0.2622582326558503,20.624902394329872,15.584789912545773,103183.06392175832,0.04
38,0.17730991403131108,0.28458262441886795,21.326266288610018,16.12309424225463,121103.08504175268,0.04
39,0.17688647049822306,0.26023600350199927,20.270826760466164,14.838990242161872,118369.55386169103,0.04
40,0.1752233538972704,0.24694550797493772,19.12184397275982,14.112107617164977,102068.96593173998,0.04
41,0.17544010675659305,0.25406060367822647,18.935535427446197,14.674550006511753,89622.88733267428,0.04
42,0.17467585921679674,0.2562581064424129,20.26755339584623,14.916737626125652,110754.70651316825,0.04
43,0.17004492082878164,0.23775852900562863,18.913842334207228,13.297946608652772,103720.7268953554,0.04
44,0.16871465097524618,0.2579619474709034,20.31263369196101,14.879530342406769,114719.88803521062,0.04
45,0.17160536772326418,0.2620641580886311,17.870086107039967,13.487222174384693,101876.5534588834,0.04
