epoch,train_loss,val_rmse,val_mae,val_nasa,val_bias,val_over_rate,val_danger_over_5,val_danger_over_10
1,0.8886515514718162,46.81718444824219,39.458526611328125,571392.625,-23.57728385925293,0.33350649350649353,0.2983549783549784,0.2626839826839827
2,0.3284273551501058,7.7008161544799805,5.920374870300293,5499.3359375,1.2703168392181396,0.5267532467532468,0.3116883116883117,0.11757575757575757
3,0.03905558135981361,7.107572078704834,5.3070220947265625,3940.22998046875,-3.9572978019714355,0.20554112554112555,0.046753246753246755,0.006926406926406926
4,0.03488224082522922,6.098836898803711,4.463639259338379,3305.428466796875,-2.4623727798461914,0.29194805194805196,0.06891774891774892,0.007965367965367965
5,0.032803922081021245,7.013122081756592,5.265065670013428,3833.861328125,-4.390196323394775,0.16484848484848486,0.020606060606060607,0.0015584415584415584
6,0.035331805564325164,7.477721691131592,5.646793365478516,4173.2392578125,-4.736515998840332,0.1696969696969697,0.02458874458874459,0.001038961038961039
7,0.03365159333097162,6.631910800933838,4.97969388961792,3579.14599609375,-4.114875316619873,0.17991341991341991,0.020606060606060607,0.0003463203463203463
8,0.033296524426313465,5.7371931076049805,4.282352447509766,2883.2236328125,-2.9696550369262695,0.23376623376623376,0.03913419913419913,0.002251082251082251
9,0.031809313878141066,5.953916549682617,4.3151702880859375,2958.63916015625,-3.259028673171997,0.20761904761904762,0.025627705627705628,0.0012121212121212121
10,0.03084406284270463,6.197813987731934,4.71596097946167,3239.02978515625,-3.6327908039093018,0.20277056277056277,0.031341991341991345,0.002077922077922078
11,0.03057310450822115,7.375077247619629,5.838405132293701,4039.8671875,-5.475340366363525,0.08450216450216451,0.005714285714285714,0.0006926406926406926
12,0.03065136958051611,5.651069164276123,3.9398741722106934,2729.9296875,-2.7295260429382324,0.22822510822510822,0.032207792207792206,0.0017316017316017316
13,0.03050259088545486,4.810257434844971,3.4040708541870117,2294.31787109375,-1.617807388305664,0.31082251082251083,0.05073593073593074,0.005541125541125541
14,0.02975428240649678,5.201521873474121,3.820277214050293,2618.2265625,-1.9367432594299316,0.323982683982684,0.055584415584415584,0.0025974025974025974
15,0.031013203388148988,5.921433925628662,4.524337291717529,3016.85009765625,-3.4441628456115723,0.21038961038961038,0.026493506493506493,0.0006926406926406926
16,0.031939861519883074,4.4523797035217285,3.129851818084717,2178.8388671875,-0.3981308341026306,0.4121212121212121,0.08692640692640692,0.008311688311688312
17,0.029377509960559784,5.13223123550415,3.693291425704956,2474.0390625,-2.3532989025115967,0.25437229437229436,0.0354978354978355,0.0027705627705627706
18,0.029493840014630998,4.623042583465576,3.1901421546936035,2280.271484375,-0.4556736946105957,0.4187012987012987,0.08727272727272728,0.010735930735930736
19,0.0304418273822025,4.721319198608398,3.295976161956787,2394.95263671875,-0.15559902787208557,0.4742857142857143,0.10008658008658008,0.007619047619047619
20,0.0295693867287978,6.857771396636963,5.303307056427002,3669.774169921875,-4.947883605957031,0.09558441558441559,0.004675324675324675,0.0005194805194805195
