run_dir,num_samples,rmse,mae,nasa,mean_error,mean_abs_error,median_abs_error,overestimate_rate,underestimate_rate,p_abs_error_gt_moderate,p_abs_error_gt_severe,p_overestimate_gt_moderate,p_underestimate_lt_neg_moderate,p_overestimate_gt_severe,p_underestimate_lt_neg_severe,danger_threshold,danger_num_samples,safe_num_samples,danger_rmse,danger_mae,danger_nasa,danger_mean_error,danger_mean_abs_error,danger_median_abs_error,danger_overestimate_rate,danger_underestimate_rate,danger_p_abs_error_gt_moderate,danger_p_abs_error_gt_severe,danger_p_overestimate_gt_moderate,danger_p_underestimate_lt_neg_moderate,danger_p_overestimate_gt_severe,danger_p_underestimate_lt_neg_severe,safe_rmse,safe_mae,safe_nasa,safe_mean_error,safe_mean_abs_error,safe_median_abs_error,safe_overestimate_rate,safe_underestimate_rate,safe_p_abs_error_gt_moderate,safe_p_abs_error_gt_severe,safe_p_overestimate_gt_moderate,safe_p_underestimate_lt_neg_moderate,safe_p_overestimate_gt_severe,safe_p_underestimate_lt_neg_severe
seed_123,100,17.115015406237692,12.257898583412171,934.1547324428032,-3.59278389453888,12.257898583412171,8.791105270385746,0.44,0.56,0.62,0.44,0.25,0.37,0.15,0.29,20.0,16,84,3.176711672246769,2.4850389063358307,4.573342567801637,0.8908753097057345,2.4850389063358307,2.3279800415039062,0.625,0.375,0.125,0.0,0.125,0.0,0.0,0.0,18.62247467149443,14.119395664760045,929.5813898750014,-4.446814219156901,14.119395664760045,10.775318145751953,0.40476190476190477,0.5952380952380952,0.7142857142857143,0.5238095238095238,0.27380952380952384,0.44047619047619047,0.17857142857142858,0.34523809523809523
seed_21,100,15.929706195854006,11.875774321556092,392.85450142347685,-2.077366795539856,11.875774321556092,8.811378479003906,0.56,0.44,0.7,0.45,0.33,0.37,0.21,0.24,20.0,16,84,4.566514211795666,3.55828508734703,7.810226634968345,3.45435830950737,3.55828508734703,2.681217670440674,0.9375,0.0625,0.3125,0.0,0.3125,0.0,0.0,0.0,17.266091568336243,13.46005798521496,385.0442747885085,-3.131028720310756,13.46005798521496,11.941542625427244,0.4880952380952381,0.5119047619047619,0.7738095238095238,0.5357142857142857,0.3333333333333333,0.44047619047619047,0.25,0.2857142857142857
seed_42,100,15.072067227430308,10.730458154678345,465.18009723161,0.9194201755523684,10.730458154678345,7.266613006591797,0.55,0.45,0.66,0.35,0.33,0.33,0.19,0.16,20.0,16,84,3.1183987741812667,2.465745508670807,4.740625132133635,1.8298125863075259,2.465745508670807,1.7416110038757324,0.75,0.25,0.1875,0.0,0.1875,0.0,0.0,0.0,16.38855962619047,12.304689134870257,460.43947209947646,0.7460120973132909,12.304689134870257,8.877252578735352,0.5119047619047619,0.4880952380952381,0.75,0.4166666666666667,0.35714285714285715,0.39285714285714285,0.2261904761904762,0.19047619047619047
seed_7,100,14.569152756664046,10.608802642822265,492.97550043328704,2.6814016914367675,10.608802642822265,7.473484039306641,0.56,0.44,0.62,0.41,0.37,0.25,0.27,0.14,20.0,16,84,4.195191361901227,2.8505376577377315,6.34318538766797,2.079059600830078,2.8505376577377315,1.6391677856445312,0.6875,0.3125,0.1875,0.0625,0.1875,0.0,0.0625,0.0,15.790453383103722,12.086567401885986,486.63231504561907,2.796133518218995,12.086567401885986,9.180927276611335,0.5357142857142857,0.4642857142857143,0.7023809523809523,0.47619047619047616,0.40476190476190477,0.2976190476190476,0.30952380952380953,0.16666666666666666
seed_87,100,14.570024006173451,10.59731873512268,349.3691676598913,0.47836213111877485,10.59731873512268,7.784272193908688,0.53,0.47,0.61,0.42,0.34,0.27,0.22,0.2,20.0,16,84,3.194834451178095,2.3844675421714783,4.7000163942461946,1.857297837734222,2.3844675421714783,1.7910652160644531,0.8125,0.1875,0.125,0.0,0.125,0.0,0.0,0.0,15.8359327988898,12.161671343303862,344.66915126564516,0.2157077108110707,12.161671343303862,9.955472946166992,0.47619047619047616,0.5238095238095238,0.7023809523809523,0.5,0.38095238095238093,0.32142857142857145,0.2619047619047619,0.23809523809523808
