rul_bin,num_samples,rmse,mae,nasa,mean_error,mean_abs_error,median_abs_error,overestimate_rate,underestimate_rate,p_abs_error_gt_moderate,p_abs_error_gt_severe,p_overestimate_gt_moderate,p_underestimate_lt_neg_moderate,p_overestimate_gt_severe,p_underestimate_lt_neg_severe,run_dir
"[0,20]",16,3.176711672246769,2.4850389063358307,4.573342567801637,0.8908753097057345,2.4850389063358307,2.3279800415039062,0.625,0.375,0.125,0.0,0.125,0.0,0.0,0.0,seed_123
"(20,50]",17,7.005349733249367,5.692498824175666,13.236856712062231,0.3275162191951972,5.692498824175666,4.834140777587891,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.058823529411764705,seed_123
"(50,125]",67,20.550860663878005,16.257563519833692,916.3445331629393,-5.658211494559672,16.257563519833692,12.752525329589844,0.373134328358209,0.6268656716417911,0.7910447761194029,0.6268656716417911,0.2835820895522388,0.5074626865671642,0.208955223880597,0.417910447761194,seed_123
"[0,20]",16,4.566514211795666,3.55828508734703,7.810226634968345,3.45435830950737,3.55828508734703,2.681217670440674,0.9375,0.0625,0.3125,0.0,0.3125,0.0,0.0,0.0,seed_21
"(20,50]",17,8.284495926491303,6.292193244485294,19.684427955941633,3.9630665498621322,6.292193244485294,3.8432960510253906,0.8235294117647058,0.17647058823529413,0.4117647058823529,0.23529411764705882,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.058823529411764705,seed_21
"(50,125]",67,18.877114897439384,15.278769934355322,365.35984683256686,-4.931023042593429,15.278769934355322,12.846237182617188,0.40298507462686567,0.5970149253731343,0.8656716417910447,0.6119402985074627,0.34328358208955223,0.5223880597014925,0.26865671641791045,0.34328358208955223,seed_21
"[0,20]",16,3.1183987741812667,2.465745508670807,4.740625132133635,1.8298125863075259,2.465745508670807,1.7416110038757324,0.75,0.25,0.1875,0.0,0.1875,0.0,0.0,0.0,seed_42
"(20,50]",17,7.927660398752303,6.005649117862477,18.732730052450435,3.0637020784265854,6.005649117862477,4.995536804199219,0.8235294117647058,0.17647058823529413,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.11764705882352941,seed_42
"(50,125]",67,17.910522999778884,13.902953019782675,441.706742047026,0.15794150509051466,13.902953019782675,9.867828369140625,0.43283582089552236,0.5671641791044776,0.8208955223880597,0.47761194029850745,0.3582089552238806,0.4626865671641791,0.26865671641791045,0.208955223880597,seed_42
"[0,20]",16,4.195191361901227,2.8505376577377315,6.34318538766797,2.079059600830078,2.8505376577377315,1.6391677856445312,0.6875,0.3125,0.1875,0.0625,0.1875,0.0,0.0625,0.0,seed_7
"(20,50]",17,8.09662038066995,6.137086195104263,18.824111336412976,1.8698617149801815,6.137086195104263,4.335350036621094,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.058823529411764705,seed_7
"(50,125]",67,17.203777643420928,13.59613726032314,467.8082037092061,3.0311577071004847,13.59613726032314,11.30126953125,0.5373134328358209,0.4626865671641791,0.7910447761194029,0.5522388059701493,0.44776119402985076,0.34328358208955223,0.3582089552238806,0.19402985074626866,seed_7
"[0,20]",16,3.194834451178095,2.3844675421714783,4.7000163942461946,1.857297837734222,2.3844675421714783,1.7910652160644531,0.8125,0.1875,0.125,0.0,0.125,0.0,0.0,0.0,seed_87
"(20,50]",17,7.071217834613441,5.883970260620115,13.705462560044488,0.7191466163186453,5.883970260620115,4.828514099121094,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.17647058823529413,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,seed_87
"(50,125]",67,17.370077381065954,13.754520871746006,330.9636887056006,0.08796948105541734,13.754520871746006,11.941101074218764,0.44776119402985076,0.5522388059701493,0.7611940298507462,0.582089552238806,0.40298507462686567,0.3582089552238806,0.31343283582089554,0.26865671641791045,seed_87
