epoch,train_loss,val_loss,val_rmse_det,val_mae_det,val_nasa_det,linex_a
1,2.6134404967992735,1.7988669209574397,74.20320809427605,65.27085853420853,3750335.0987598198,0.04
2,0.8681721631915141,0.3566596705074373,26.019804366244706,21.648654588070166,54274.16188926361,0.04
3,0.41637909718048877,0.22250767169814362,17.323600329112455,15.075119331259163,19083.76782232986,0.04
4,0.3756986416112154,0.22224413515313676,19.273252953048853,16.08113222324385,23383.107176396716,0.04
5,0.34855892069828814,0.193235371457903,17.354257629540083,14.481835058438657,20361.339312956276,0.04
6,0.33063350942654485,0.19183307131262203,17.876791705547674,14.48159044127384,21116.760128637186,0.04
7,0.32473378924605173,0.1779704252748113,16.889787880833623,13.80838936640403,17809.042851593334,0.04
8,0.3206553051295953,0.1898258116684462,17.64189390494801,14.758254855220766,18339.182484036734,0.04
9,0.3097936798555729,0.16648041751039655,16.2357450906633,12.917517349542091,17973.396048369854,0.04
10,0.3047199092614345,0.18481423558765336,17.092653013300787,13.824287906800157,18840.069394835555,0.04
11,0.29898116441491324,0.16303174031016074,15.097983538365586,12.280955020713845,14926.262376963916,0.04
12,0.28933645746646786,0.1706408042656748,15.293944230787734,13.251139698591532,13279.281138818587,0.04
13,0.2905851081968882,0.16016458876823125,14.776190158212927,12.736978184183233,13035.665539582746,0.04
14,0.2808789633787595,0.16069984877187954,15.872082442904544,12.697838920883864,16853.657224309194,0.04
15,0.26974126352713657,0.17455843198848398,13.994402866340604,11.957963073261066,13635.465748783878,0.04
16,0.2696225882913822,0.14965537376701832,15.040778853355864,12.348053576965587,13563.850639846432,0.04
17,0.2666422395178905,0.16262817353402315,14.84911843277258,12.425330292680512,14060.307572638143,0.04
18,0.26251380804639596,0.1721636764705181,16.032277302907104,13.17002951174609,16457.67984642584,0.04
19,0.26642878582844365,0.1504785510662355,14.338743120200752,11.888600544086044,12720.485744316455,0.04
20,0.2602649096112985,0.14214495843962618,14.05908834231006,12.011088401407493,11419.46913053053,0.04
21,0.2518064410258562,0.1588832628177969,16.259221718925524,12.809620916013335,16931.744063452323,0.04
22,0.24629671279436502,0.1443290549673532,13.760460729588349,11.372819310388305,12315.931770080138,0.04
23,0.24013891596442613,0.13285275627123683,13.445769297605755,11.126863555733763,11033.398689366353,0.04
24,0.23656207132033813,0.1495053111330459,14.848953840315888,12.209874876371616,13065.874079814444,0.04
25,0.23714805585451615,0.14161073406668087,13.26538790687149,11.024337793333173,11368.071743617684,0.04
26,0.2341989784095532,0.16658071212862668,13.642212164350276,11.589710874682378,13067.901410172259,0.04
27,0.22901948016041365,0.15030162056025706,13.622313010278898,11.256907471795756,12690.112978519566,0.04
28,0.22551866945547935,0.1444376079659713,13.974083801495375,11.630851190071843,12282.247790138157,0.04
29,0.2247908755372732,0.15398214247665906,13.594532347103836,11.124475333824943,13092.459087726867,0.04
30,0.22582608384963793,0.1494649725132867,13.41915040380363,11.007743213509254,12344.63243610478,0.04
31,0.21620870095032912,0.16528358908468171,13.990196364449957,11.540099914097237,14156.244526508344,0.04
32,0.21604017302011833,0.16987250078665583,14.231655883734552,12.160165597534656,13752.86162732649,0.04
33,0.20938904487933868,0.14329013777406593,13.409472109844621,10.810098586224191,12567.400140150909,0.04
34,0.20500186066596937,0.15733184243895507,14.670267273074305,12.114640719676013,13158.56391306231,0.04
35,0.20507714849634048,0.12907521073755465,12.980971528987586,10.733629707882741,10973.260841390558,0.04
36,0.20467511755533707,0.15107394607835695,13.663638850222773,11.386431270814244,12382.90970701291,0.04
37,0.1987973602536397,0.1766279484880598,13.739392983351877,11.435481425754942,14595.483309646941,0.04
38,0.1925011177857717,0.14682239548940407,14.134680772938593,10.719888277446325,14886.878363421369,0.04
39,0.19199019183333105,0.17011392342024728,13.712514902033476,11.400446411577636,14317.412107470613,0.04
40,0.1880826657781234,0.13035574153457818,13.29417293127972,10.50960638136062,12009.67550294374,0.04
41,0.1867412991153124,0.15288626981016837,12.910286418819311,10.4398604391816,13070.23971888634,0.04
42,0.18574947051894972,0.1361268697012412,13.291200304303544,10.207103429180599,12623.215070104514,0.04
43,0.18248211439603415,0.15904335050206436,13.735024158600268,11.199301882212387,13715.515951612773,0.04
44,0.17635598592460155,0.1401493723847364,12.825765786009919,10.469905668721331,11397.82615010332,0.04
45,0.1762953414939917,0.16279547289013863,14.098658105570895,11.706362409914787,13552.914835265761,0.04
46,0.17260737201342216,0.17166755456281335,14.331322171483558,11.217479786241508,16583.329250338516,0.04
47,0.17322939314330235,0.13331269301278026,12.718460169094582,9.844839100133008,12176.700475892143,0.04
48,0.17106147936712474,0.15803859402474604,13.27785110515812,10.217349279251447,14774.000465821764,0.04
49,0.16852783225476742,0.12064194115565012,12.630674458659428,10.069443986064504,10655.368421510515,0.04
50,0.16603495085086578,0.15629785228520632,13.798020465198993,10.610697224937539,14796.854872388103,0.04
51,0.16368616892932317,0.15107902727629008,13.247223351200725,10.214448723022915,13678.813346484741,0.04
52,0.16141845510365108,0.16829922780590623,13.056825931582638,10.158273362538543,14704.933278438239,0.04
53,0.15983230252869618,0.14630291561939215,13.405291876258918,10.828748177897284,12555.926705118956,0.04
54,0.15630995840407336,0.17542528998302787,13.16782424377086,10.234620172252429,16078.28391250257,0.04
55,0.15649921915087944,0.15189727503610284,12.962378584399326,10.398925300497842,12713.033487086752,0.04
56,0.15467805716280753,0.1634743571477501,13.889832690362862,11.023701423271557,14660.303040681865,0.04
57,0.1565077085621082,0.14634465083087744,13.441192778067704,10.832131191787688,12742.159146792674,0.04
58,0.14754756559164095,0.1592118849389647,13.013987858974874,10.05437194907078,14052.43846673327,0.04
59,0.1471056824979874,0.15766143254739673,12.988702280333495,10.253913029542066,13678.383315954467,0.04
60,0.14581187976858553,0.15208075891592002,13.012863934713884,10.34387467279674,13589.411159822983,0.04
61,0.1472769132695901,0.1464600734608738,13.247334485376175,10.575834444817524,12774.504542897794,0.04
62,0.14331660056725526,0.17112989091363393,12.844443071704061,9.656922897809856,14807.341837873482,0.04
63,0.1421439087448212,0.16053495992367206,13.372376430695496,10.304796063758756,14392.484122937105,0.04
64,0.14348999004906568,0.15557790155473508,13.150443876060502,10.097343803914018,13809.097335872233,0.04
