group,num_runs,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,best_rmse,best_seed,best_run_dir,best_linex_a,val_rmse_mean,val_rmse_std,pred_std_mean_mean,pred_std_mean_std
G4,5,14.782587377443736,0.3776201091157413,10.88734461402893,0.27869121469640445,376.8905928182849,59.917481530034166,14.167943213746906,21,seed_21_a_0.04,0.04,13.996002387051718,0.45296311918385435,10.776022720336915,0.5616948673814921
G3,5,15.021551727155057,0.8197446387974456,10.61856852531433,0.7486478125210936,518.3083839131716,113.23651689225416,13.747908981633728,7,seed_7_a_0.04,0.04,11.596618353453556,0.38615214301628087,,
G2,5,15.4511931184719,0.9690686266799606,11.214050487518312,0.7082431548753141,526.9067998382136,209.90570599888994,14.569152756664046,7,seed_7,,13.241462016460556,0.5208352036626573,13.210736274719238,0.36186398422171545
G1,5,15.934514356008734,0.852837093205179,11.620792460441589,0.6402387084925041,509.16269159641433,159.17635391013755,14.863513172073645,21,seed_21,,11.754117131079356,1.0105286173860528,,
