run_dir,rmse,mae,nasa,dataset_name,seq_len,validation_ratio,batch_size,seed,linex_a,dropout_rate,mc_samples_val,mc_samples_test,best_epoch,best_val_rmse,val_rmse,val_mae,val_nasa
seed_7,16.27865105210588,11.44020643234253,800.7467055451503,FD001,50,0.2,128,7,,,,,7,10.048171055651478,10.048171055651478,6.481594961659385,9340.591182035085
seed_21,14.863513172073645,10.878820176124572,550.8221114696483,FD001,50,0.2,128,21,,,,,9,11.18903229181296,11.18903229181296,6.828099160759478,12712.064863274569
seed_42,17.19880285156831,12.808063793182374,381.0610620474002,FD001,50,0.2,128,42,,,,,6,12.719654624325393,12.719654624325393,8.71780703251607,9348.844307936142
seed_87,16.226312947096933,11.59270513534546,441.78558396053654,FD001,50,0.2,128,87,,,,,13,12.62116311543521,12.62116311543521,8.285383231354462,10612.840534515002
seed_123,15.105291757198907,11.384166765213013,371.39799495933613,FD001,50,0.2,128,123,,,,,7,12.192564568171735,12.192564568171735,8.584710180688422,9073.129057640946
