epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa,linex_a
1,2.5744382088121616,1.9972376213187264,78.57282605638666,70.53397745308428,5426623.780932736,0.04
2,0.9451975416588155,0.27348368606042295,20.05463328059433,17.910912822232774,25350.80678678286,0.04
3,0.23736269948513886,0.13476757716298812,11.480297516076286,7.978906611338577,15115.576441373516,0.04
4,0.14494985229286708,0.08910123498312064,10.412095091455488,7.255306353973431,8396.30806102218,0.04
5,0.09564872674251858,0.07360290438823756,10.260371321049087,7.090787303747691,7317.021344849422,0.04
6,0.08153897433198597,0.09837098262228426,10.471722291710371,6.794774940140538,10155.00103659284,0.04
7,0.06748586443350896,0.07818832910353583,9.295729322241788,5.989982138408863,7699.287432688781,0.04
8,0.05813075827532693,0.11968376373295628,11.007696315366779,6.561553969143266,13274.754852522306,0.04
9,0.05242993573560134,0.09811762813478708,10.74720166941272,6.8515884364084565,10145.52510665159,0.04
10,0.049192982223375065,0.09225253980340702,10.79349858766048,6.93739062402144,9400.925142353259,0.04
11,0.03992835286465522,0.11805994221053663,10.531317006112426,6.221616389811428,12857.939671800803,0.04
12,0.03785734014634631,0.0969692880642556,10.88742503527602,6.841439014156623,9736.34018230579,0.04
13,0.0339976689459658,0.10277135809883475,10.737355029991182,6.717011738201223,10206.202224958495,0.04
14,0.03107698104883495,0.14385423702853067,13.388142845468051,8.402567577906446,17304.256752888912,0.04
15,0.028013519887616366,0.13018466068786524,12.08071945775778,7.2448742881847785,14457.528266946254,0.04
16,0.02637990837990257,0.09955294436908194,11.639347849244311,7.3459788842114575,10033.324665090791,0.04
17,0.02445817857024897,0.14020523599659404,11.751295922800631,6.919579932363035,15828.552478616384,0.04
18,0.02127554754138385,0.11797949465523873,12.253227715624162,7.439635657330928,12968.48623198607,0.04
19,0.020575237993494068,0.14531526880870974,12.210138522607462,7.24647299266817,17188.503388120243,0.04
20,0.018596715385731506,0.10849528777457419,11.827678330147112,6.898709869073688,11754.600164605145,0.04
21,0.018318288034367327,0.09672849864831992,11.003477158236347,6.614334390636704,9793.14341185178,0.04
22,0.017292971820815614,0.1511534764874904,11.929257355097276,6.871991637924066,17707.012944670554,0.04
