rul_bin,num_samples,rmse,mae,nasa,mean_error,mean_abs_error,median_abs_error,overestimate_rate,underestimate_rate,p_abs_error_gt_moderate,p_abs_error_gt_severe,p_overestimate_gt_moderate,p_underestimate_lt_neg_moderate,p_overestimate_gt_severe,p_underestimate_lt_neg_severe,run_dir
"[0,20]",16,3.793476352908645,2.675279915332794,5.624542447366414,1.9215198159217834,2.675279915332794,1.4963107109069815,0.8125,0.1875,0.125,0.0625,0.125,0.0,0.0625,0.0,seed_123_a_0.04
"(20,50]",17,6.9844968833064165,5.227560492122874,14.574710514052324,2.5893883424646713,5.227560492122874,2.9604434967041016,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0,seed_123_a_0.04
"(50,125]",67,17.84098715274469,13.74438396852408,607.7201987826384,0.013463148430212008,13.74438396852408,12.107864379882812,0.47761194029850745,0.5223880597014925,0.746268656716418,0.5671641791044776,0.373134328358209,0.373134328358209,0.2835820895522388,0.2835820895522388,seed_123_a_0.04
"[0,20]",16,4.298955681656629,2.824287235736847,6.550630856563481,2.631094753742218,2.824287235736847,1.2639517784118652,0.875,0.125,0.1875,0.0625,0.1875,0.0,0.0625,0.0,seed_21_a_0.04
"(20,50]",17,6.806407970032778,5.248962290146771,11.936464328230336,-0.668732699225931,5.248962290146771,5.758628845214851,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.058823529411764705,seed_21_a_0.04
"(50,125]",67,18.710744661460435,14.833542268667648,650.3469862628737,1.0997427755327371,14.833542268667648,12.164093017578125,0.5223880597014925,0.47761194029850745,0.8208955223880597,0.5970149253731343,0.44776119402985076,0.373134328358209,0.34328358208955223,0.2537313432835821,seed_21_a_0.04
"[0,20]",16,5.749495503111762,4.4122114181518555,10.898247890306724,4.391254544258118,4.4122114181518555,3.6860218048095703,0.9375,0.0625,0.375,0.0625,0.375,0.0,0.0625,0.0,seed_42_a_0.04
"(20,50]",17,7.350239681516405,6.298491309670841,16.690757007606788,4.570007548612707,6.298491309670841,5.097484588623047,0.8235294117647058,0.17647058823529413,0.5294117647058824,0.23529411764705882,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.0,seed_42_a_0.04
"(50,125]",67,17.259626213254304,12.907794212227437,390.371029300828,1.257111848290287,12.907794212227437,9.538223266601562,0.5223880597014925,0.47761194029850745,0.7014925373134329,0.4925373134328358,0.373134328358209,0.3283582089552239,0.29850746268656714,0.19402985074626866,seed_42_a_0.04
"[0,20]",16,2.933119159612607,2.0689688622951508,3.7862462373009214,0.2653676569461818,2.0689688622951508,1.4987468719482422,0.375,0.625,0.0625,0.0,0.0625,0.0,0.0,0.0,seed_7_a_0.04
"(20,50]",17,8.482906446773523,5.670767391429228,19.17904067432509,-0.19122897877412684,5.670767391429228,2.6486568450927734,0.47058823529411764,0.5294117647058824,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.058823529411764705,seed_7_a_0.04
"(50,125]",67,16.179743277079172,12.053116015533902,357.98580623734614,1.8352051350607794,12.053116015533902,9.404029846191406,0.5074626865671642,0.4925373134328358,0.6567164179104478,0.43283582089552236,0.3582089552238806,0.29850746268656714,0.26865671641791045,0.16417910447761194,seed_7_a_0.04
"[0,20]",16,3.4042855134721832,2.165672928094864,4.539109930375915,1.2866438329219814,2.165672928094864,1.48213529586792,0.6875,0.3125,0.0625,0.0625,0.0625,0.0,0.0625,0.0,seed_87_a_0.04
"(20,50]",17,6.793964650890139,5.198159217834473,14.127770844256567,1.2644668466904585,5.198159217834473,3.91583251953125,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.058823529411764705,seed_87_a_0.04
"(50,125]",67,19.30024184227954,15.31182838553813,477.2103782517877,-0.30912211403917955,15.31182838553813,12.868240356445327,0.44776119402985076,0.5522388059701493,0.7761194029850746,0.6268656716417911,0.40298507462686567,0.373134328358209,0.3283582089552239,0.29850746268656714,seed_87_a_0.04
