epoch,train_loss,val_loss,val_rmse,val_mae,val_nasa,linex_a
1,1.75734934458393,0.5366879151690573,28.809753722334754,25.02967574003262,146495.7699889513,0.04
2,0.36110850682244455,0.29541738315795857,19.064610079377456,14.08494055557001,84780.92006781977,0.04
3,0.24640575438207263,0.23773036415999135,17.287628677736393,12.894001632337044,56924.320031534524,0.04
4,0.17592675378131584,0.2254693258465046,19.335530091856953,13.949307013938114,65260.20554024518,0.04
5,0.1426509813977632,0.21661737684293517,17.264091543531872,12.121420095669459,55290.099515983326,0.04
6,0.1262536051100015,0.30825943077382234,16.165131926346863,11.291037814621177,84554.32943923294,0.04
7,0.12071037670536636,0.22240340869341577,16.503452111655495,11.16459320634101,61987.75072700092,0.04
8,0.10309090588009676,0.25879052999828545,16.1112315411696,10.938712542416697,73131.98920121932,0.04
9,0.1049964180332263,0.24772643960923665,15.72423099123803,10.535435380483218,69968.01905944251,0.04
10,0.0943376031159824,0.21798636075774475,16.822339175647823,11.19881193036665,61692.60792570763,0.04
11,0.09318679381018223,0.3037194931391804,16.086770873612597,10.75541532910319,95290.77534500064,0.04
12,0.08431147787310957,0.23718713414633558,20.649662314830618,13.97093040893345,84871.02440113635,0.04
13,0.08289385740631412,0.20114661722133556,16.05691348255836,10.724840445020375,52385.29688067248,0.04
14,0.08252308785207901,0.21039175344187588,17.338181791125525,11.550394691825582,56888.0828613895,0.04
15,0.07988203402044865,0.2318713912806873,16.351112595457824,11.01768979048039,71602.05548886044,0.04
16,0.07878509926601404,0.31893002683119404,16.640890329603742,10.627589975698314,107781.44020613468,0.04
17,0.07380812678165535,0.24643992163640047,15.940524117177791,10.476595729444304,71495.4617187511,0.04
18,0.06991406725802478,0.24629380402066522,17.269775623703225,11.42652443128105,73388.4588141749,0.04
19,0.06887330182272532,0.2869670605619571,16.239436466809302,10.879237471905572,86450.39062357388,0.04
20,0.06478882190226978,0.21117977095612636,16.97603196890563,11.682009725447964,59317.15354408027,0.04
21,0.06959204306654654,0.4604316501479064,18.803463313921313,12.145314618571057,185000.09337486842,0.04
22,0.06884828434278774,0.24937407233353173,17.65362522911522,11.921765976310134,76771.76886061043,0.04
23,0.06640622842758452,0.2978071514406197,16.665840337469415,10.783583089628328,99740.40670986273,0.04
24,0.05505909846448934,0.23863424232140892,17.529435702973785,11.818366451898667,77450.4231682739,0.04
