run_dir,rmse,mae,nasa,pred_std_mean,pred_std_std,mc_samples,dataset_name,seq_len,validation_ratio,batch_size,seed,linex_a,dropout_rate,mc_samples_val,mc_samples_test,best_epoch,best_val_rmse,val_rmse,val_mae,val_nasa,val_pred_std_mean,val_pred_std_std,val_mc_samples
seed_7_a_0.04,14.951555811183972,10.8582803440094,378.4900721871642,11.66524887084961,7.034433841705322,20,FD001,50,0.2,128,7,0.04,0.5,10,20,23,14.027486265805404,14.861543619119761,12.182765986774395,11926.960336570462,12.633718490600586,6.894016265869141,10
seed_21_a_0.04,14.167943213746906,10.423243594169616,311.12933294713116,10.480303764343262,6.155625820159912,20,FD001,50,0.2,128,21,0.04,0.5,10,20,43,13.115639072032943,13.822164772734492,10.912827563136014,11941.54833946381,11.72039794921875,6.09358549118042,10
seed_42_a_0.04,14.83377086116426,11.259215965270997,481.29920113818565,11.139643669128418,6.195219993591309,20,FD001,50,0.2,128,42,0.04,0.5,10,20,40,12.727158234627865,13.53240214698755,10.745070014911029,11044.109410060288,11.73073673248291,6.327455997467041,10
seed_87_a_0.04,15.31614818898599,11.06302433013916,387.6893413858232,10.063936233520508,5.662109851837158,20,FD001,50,0.2,128,87,0.04,0.5,10,20,51,13.271730834892828,13.934657614732112,10.944685356454348,12260.58760639318,10.975340843200684,5.828009605407715,10
seed_123_a_0.04,14.643518812137554,10.83295883655548,325.8450164331202,10.530981063842773,6.261467933654785,20,FD001,50,0.2,128,123,0.04,0.5,10,20,39,13.034230934330775,13.829243781684664,10.83339467501964,10654.704100156892,11.432607650756836,6.267805576324463,10
