epoch,train_loss,val_loss,val_rmse_det,val_mae_det,val_nasa_det
1,8265.43217504306,6905.888420758929,83.25777933474475,73.78251752669335,8646109.574361335
2,4396.901893916092,2491.399677385603,50.03030312754925,42.497351513516755,400524.32217188575
3,1268.0173282172736,340.86064191545756,18.496310738013307,15.694990930801234,44502.651045724626
4,613.6483776663232,253.40884857177736,15.940202121901159,13.378108542793743,19187.314745855514
5,533.7618662916769,189.2176247188023,13.769030917079162,10.64784111136059,12691.423284807342
6,509.4161312073235,183.36762602669853,13.567378864019897,10.612959783102923,11046.436122507133
7,467.29622139517716,179.22332447596958,13.409551570487563,10.132426854791504,17549.14481937787
8,467.0254658376138,167.6859583718436,12.956672096908255,9.358678461980455,12587.865766702229
9,437.3753066175566,153.14909346444267,12.40027534990184,9.834687871019117,9728.026950855798
10,441.0705979715182,149.99052271161761,12.269108809011424,9.323782358231622,10294.178627290195
11,436.4265711025929,166.495229775565,12.927619483283927,9.80451181621911,10613.061018589604
12,417.90528112696853,157.2918768474034,12.563299523624549,9.079831041569555,11137.921992340005
13,424.4464784156619,153.62015800476075,12.418535197511778,9.228838966313342,9592.021070915573
14,413.2335935577633,133.13478987557548,11.559119351163108,8.734957646264208,8825.058437874504
15,399.76023756612943,142.49989536830358,11.959755607977222,9.384205045670111,9919.800950004012
16,397.0825611024391,169.19868376595633,13.03182021854775,9.432454106061849,11824.008882140413
17,381.5416175662063,149.6333176749093,12.259485873071077,8.914246775196528,10005.672097872592
18,377.32908474178765,139.96220857075284,11.850983770084156,8.523003397392413,9720.104231744797
19,377.31056081216167,220.35464515686036,14.873994642609857,11.170779062879792,12271.305215560245
20,374.7804154523714,142.23965421404156,11.951771170754114,8.676878303824465,10931.39866719894
21,369.4128177672859,148.84518075670516,12.228237030311272,8.933921992404242,10536.834382001613
22,365.9840413491557,223.36507606506348,14.97055049995575,10.734307676981766,13643.191279424871
23,356.3518411230853,155.66335699898855,12.501325430868183,9.46415009506087,9789.646726023222
24,358.74774602454477,143.5244807107108,12.004938705513398,8.147052290516653,12326.25740429933
25,348.1142686258151,168.26142229352678,13.000614907992144,9.681637861061995,10494.62568078332
26,357.6279090220534,134.0566170828683,11.600038701601209,7.947136755103055,11981.920159130215
27,345.30254069651204,214.39503457205637,14.670046165621997,10.68277414739667,11624.44065696294
28,335.7602059672198,164.5243667602539,12.849973839398864,9.017940561262025,10188.552278185709
29,335.9281580166554,138.94584094456263,11.81472613451958,8.512540025385748,11840.47412010478
