epoch,train_loss,val_rmse,val_mae,val_nasa,val_bias,val_over_rate,val_danger_over_5,val_danger_over_10
1,10.476063323743416,62.48329162597656,50.624427795410156,4166401.75,-48.86027526855469,0.12321981424148606,0.08194014447884417,0.04066047471620227
2,8.748544442533243,34.78688430786133,24.950843811035156,198561.0625,-23.812368392944336,0.1436532507739938,0.04767801857585139,0.005779153766769866
3,2.6036029692852134,11.913018226623535,9.482129096984863,7291.9912109375,-9.053252220153809,0.09184726522187822,0.0086687306501548,0.0
4,1.2723105164489361,8.333719253540039,6.276156902313232,4015.43896484375,-5.6837334632873535,0.15294117647058825,0.00804953560371517,0.000412796697626419
5,1.1397553790699353,8.078965187072754,6.146291255950928,3810.2431640625,-5.2513909339904785,0.2002063983488132,0.017543859649122806,0.0006191950464396285
6,1.193158694589981,8.028100967407227,6.802516937255859,3884.289306640625,-6.483852386474609,0.07719298245614035,0.005159958720330237,0.0006191950464396285
7,1.1608444638926574,6.455856800079346,4.817819595336914,2763.39794921875,-3.4676647186279297,0.2825593395252838,0.0282765737874097,0.0014447884416924665
8,1.071777424426994,8.489901542663574,6.57119083404541,4109.07568359375,-6.108949661254883,0.12714138286893706,0.006398348813209494,0.000825593395252838
9,1.139596580254911,6.627869129180908,5.075750827789307,2922.8974609375,-3.425670862197876,0.32218782249742,0.034468524251805986,0.005572755417956657
10,1.0689814199100842,10.010290145874023,8.187361717224121,5357.4072265625,-7.926944732666016,0.06604747162022703,0.007430340557275541,0.000412796697626419
11,1.0516707644318088,5.731215476989746,4.315783977508545,2384.57666015625,-2.7198593616485596,0.3333333333333333,0.028070175438596492,0.005985552115583075
12,0.997364144734662,6.087843894958496,4.580892086029053,2539.658935546875,-3.3876442909240723,0.27038183694530443,0.02084623323013416,0.00392156862745098
13,1.0719633084354978,8.493699073791504,7.211155414581299,4199.009765625,-6.941747188568115,0.05737874097007224,0.006811145510835914,0.002476780185758514
14,1.0198693395865084,6.706327438354492,5.241549968719482,2894.976806640625,-4.625820159912109,0.1568627450980392,0.010319917440660475,0.002889576883384933
15,0.9895815644601379,6.020175933837891,4.716091156005859,2515.7744140625,-3.956014633178711,0.18472652218782248,0.014654282765737874,0.0022703818369453044
16,1.0271133154329628,7.142062664031982,5.998050689697266,3258.7568359375,-5.665330410003662,0.07698658410732714,0.009494324045407636,0.000825593395252838
17,0.9944125925651705,6.745323181152344,4.991527080535889,2887.38525390625,-4.000607967376709,0.24189886480908152,0.014035087719298246,0.005779153766769866
18,0.9680578997640898,6.4879655838012695,5.176502227783203,2812.299072265625,-4.46297550201416,0.1653250773993808,0.01259029927760578,0.005779153766769866
19,0.9373187747868624,6.561032295227051,4.9494194984436035,2807.040283203125,-3.7457566261291504,0.2674922600619195,0.018163054695562435,0.007017543859649123
20,0.9712895185056359,7.323819637298584,6.0248026847839355,3338.7880859375,-5.658814430236816,0.08565531475748193,0.009907120743034056,0.0002063983488132095
